title;stars;name;text
Atta'awun Puncak Mosque;5;remphy 313;
Atta'awun Puncak Mosque;5;sujarwo;Selain untuk sholat, istirahat sangat enak di sini, view dapet bisa sambil ngopi atau makan
Atta'awun Puncak Mosque;5;Githa Anggraini30;
Atta'awun Puncak Mosque;5;Achmadi sejakeAdin;
Atta'awun Puncak Mosque;5;rian nur sigit;
Atta'awun Puncak Mosque;5;Neny Ruhiyatini;
Atta'awun Puncak Mosque;4;Heri Kelly;Sudah banyak perubahan
Atta'awun Puncak Mosque;5;sutrisno hutagalung;
Atta'awun Puncak Mosque;5;Siti Indriyani;
Atta'awun Puncak Mosque;5;Qomarudin Sawangga;tempat ternyaman buat singgah di Puncak
Atta'awun Puncak Mosque;5;Deden Fermana;
Atta'awun Puncak Mosque;5;Noor Safrina;
Atta'awun Puncak Mosque;5;Lapangan Alesha;
Atta'awun Puncak Mosque;5;Jemmy edward;
Atta'awun Puncak Mosque;5;Acep Suhendar;
Atta'awun Puncak Mosque;5;Abdul Rokhim;Alhamdulillah bisa sholat subuh di sini
Atta'awun Puncak Mosque;5;Harfiansyah Aji;
Atta'awun Puncak Mosque;5;Kanaya Vimala;𝙱𝚊𝚐𝚞𝚜
Atta'awun Puncak Mosque;5;srygordyn interior & Decoration;
Atta'awun Puncak Mosque;5;Usep Ahmad;
Atta'awun Puncak Mosque;4;Derry Gaming;Lalulintas macet trus
Atta'awun Puncak Mosque;5;Novi Hanifah;
Atta'awun Puncak Mosque;5;Rosalina Rose;Weekend selalu ramai
Atta'awun Puncak Mosque;5;Abdurrohman Burhan Yusuf;"Tempat singgah dan beribadah
Tempat bersantai menunggu waktu Sholat
Pemandangan indah, tempat nyaman, toilet bersih"
Atta'awun Puncak Mosque;5;Ayu Irmawati;
Atta'awun Puncak Mosque;5;Nur Sidik;
Atta'awun Puncak Mosque;4;Achmad Wahyudi;
Atta'awun Puncak Mosque;4;Bayu Pamungkas;
Atta'awun Puncak Mosque;5;Nabilah Septania;
Atta'awun Puncak Mosque;5;Albert “Oiii” Mantiri;"Bgus indah tmpt nya sejuk kaki nya PD sakit lwtin batu"" JD plg sehat penyakit hilang smua"
Atta'awun Puncak Mosque;5;wahana hana;Lokasinua sangat sejuk sekitar masjid bersih terjaga cuman harga makanan mahal
Atta'awun Puncak Mosque;5;Permana Putra;
Atta'awun Puncak Mosque;4;Herman Santoso;Bersih
Atta'awun Puncak Mosque;5;Sri Mulyani;Enak airnya dingin suasananya santai cuma parkirnya Mayan😬🤭
Atta'awun Puncak Mosque;5;Yuniardo Hariyadi;
Atta'awun Puncak Mosque;5;Jihad Agus;Tamannya makin indah, jajanan lengkap, dan toilet bersih
Atta'awun Puncak Mosque;5;Space Oddity;
Atta'awun Puncak Mosque;5;Efi Susanti;Dingiiiinnn 🥶🥶🥶
Atta'awun Puncak Mosque;5;Saepudin;
Atta'awun Puncak Mosque;5;Adit Tiya;
Atta'awun Puncak Mosque;5;Maryati;
Atta'awun Puncak Mosque;5;Ahmad Chodim;Bisa sholat,,istirahat dan jajaran kejangkau
Atta'awun Puncak Mosque;4;Chairul Anwar;
Atta'awun Puncak Mosque;5;Ifham Kareem;
Atta'awun Puncak Mosque;5;Aurelia Salsamia;
Atta'awun Puncak Mosque;5;mpuu marfu;
Atta'awun Puncak Mosque;5;adi shinjo;Nice
Atta'awun Puncak Mosque;5;Umi kalsum;
Atta'awun Puncak Mosque;5;allya fatma;
Atta'awun Puncak Mosque;5;NAGARA CIKUR;Suasananya sangat menenangkan
Atta'awun Puncak Mosque;5;Merycius Christyanto;
Atta'awun Puncak Mosque;5;Muhammad Sahala Jhonson;
Atta'awun Puncak Mosque;5;Green Print;Tempat penetralisir hawa hawa maksiat. Huftttt keceplosan hehhe, semoga semua dapat hidayah di tempat ini. Aamiin
Atta'awun Puncak Mosque;5;Riya ulfi;
Atta'awun Puncak Mosque;5;Bacharuddin Yusuf;
Atta'awun Puncak Mosque;5;yana maryana;
Atta'awun Puncak Mosque;4;Chrisna Maruto;
Atta'awun Puncak Mosque;5;Fayruz Habibie;
Atta'awun Puncak Mosque;5;CH;"Tempatnya luas ...tinggi banyak tangga.
Suasana sejuk, hati2 lantai kamar mandi dan tempat wudhu licin.
Mukena yang disediakan sedikit lebih baik bawa sendiri."
Atta'awun Puncak Mosque;5;Ryodha;Perfect mosques. Perfect service from the official. The iconic if you want to go to Puncak pass. Always satisfied when I'm here.
Atta'awun Puncak Mosque;5;Baim TV;Mantep
Atta'awun Puncak Mosque;5;Dewi Ningsih;Lebih rapi , ada kursi pijat , masih dingin , masjid legend dipuncak
Atta'awun Puncak Mosque;3;Mulyana;Tidak serapoh dulu
Atta'awun Puncak Mosque;5;Tito Prabowo;
Atta'awun Puncak Mosque;5;waroeng komunitas;
Atta'awun Puncak Mosque;5;Cakrawala Katulistiwa;
Atta'awun Puncak Mosque;5;Hasancawan Channel;adem
Atta'awun Puncak Mosque;5;Umay Iroh;Masjidnya bersih , ada cafe nya , bisa main air sungai anak2 seneng jdinya
Atta'awun Puncak Mosque;5;Hendi Nugraha;
Atta'awun Puncak Mosque;5;Arfan Amsil;
Atta'awun Puncak Mosque;5;Candra Wirman;Jalan menuju masjid nya agak bikin kaki sakit
Atta'awun Puncak Mosque;5;IQ Ramadhan;
Atta'awun Puncak Mosque;5;saefudin Komari;
Atta'awun Puncak Mosque;5;Sumar jono;Masjid yg nyaman +sejuk sdh beberapa kali kesini pas mlm2 udara ny dingin di temani wedang jahe +mie
Atta'awun Puncak Mosque;5;Muhamad Amin;
Atta'awun Puncak Mosque;5;Henri Saputra;
Atta'awun Puncak Mosque;5;Zakaria Zack;
Atta'awun Puncak Mosque;5;Rouyung Putra;Bagusss
Atta'awun Puncak Mosque;5;skrg kamsoy;
Atta'awun Puncak Mosque;5;Roni Afriadi;
Atta'awun Puncak Mosque;5;Widi Muhamad;
Atta'awun Puncak Mosque;5;dadang sujatmiko;Masjid yang adem,...
Atta'awun Puncak Mosque;5;Hasan Isan;Tempat ibadah dan ngeres yg nyaman
Atta'awun Puncak Mosque;5;RW Family (Rendy);
Atta'awun Puncak Mosque;5;Saiful Pc;
Atta'awun Puncak Mosque;5;Maulana Ishak;Masjid yang menjadi icon puncak bogor ini,, semoga di renovasi kembali soalnya pas terkahir sya kesana ada plaponnya sudah mulai terlepas dan paving bloknya sudah tidak rata dan catnya sudah mulai terlihat kusam,,
Atta'awun Puncak Mosque;5;Kangprabu Cherbond;Sejuk dan adem
Atta'awun Puncak Mosque;5;Aan sunandar;
Atta'awun Puncak Mosque;5;Sendi Febrian;
Atta'awun Puncak Mosque;5;Trisno Jogja Flasher;Sholat Shubuh disini, Alhamdulillah bersih, sejuk, parkir luas, petugas ramah
Atta'awun Puncak Mosque;5;Wisnu Purbaya;
Atta'awun Puncak Mosque;4;Axzel Maximillian Hanaco;"Sangat memadai untuk shalat Jumat, ruangan lega buat jemaah wanita dan pria.

Lebih bagusnya kalau toilet memang jangan dipakai setiap jam 8-11 pagi, karena dibersihkan terlebih dahulu. Dulu, setiap saya shalat Jumat disini, toilet sedikit bau karena pengunjung masih memakai toilet sebelum waktu Dzuhur dan belum sempat dibersihkan, sekarang toilet tersebut sudah teratur.

Kekurangannya, mungkin, menurutku, adalah banyak antrian toilet pria dan wanita yang sedikit memakan waktu buat buang air, saking banyak wisatawan luar Bogor yang hendak berwisata di kawasan ini, sebelum shalat Jumat.

Tapi dari semua pendapatku, ini masjid yang direkomendasikan buat wisatawan yang hendak melepas penat di Puncak"
Atta'awun Puncak Mosque;5;widodo makmur;"Masjid legendaris jamaahnya selalu Ramai
Banyak kuliner yg enak dan harga receh...."
Atta'awun Puncak Mosque;5;Takdir Budi;
Atta'awun Puncak Mosque;5;Humairotur Rosyiqoh;
Atta'awun Puncak Mosque;5;agus nur salim;
Atta'awun Puncak Mosque;5;Budiman Rachmat Ginanjar;
Atta'awun Puncak Mosque;5;Loro Febri Prasojo;"Liburan JANGAN LUPA SHOLAT
Masjid dengan sejuta kenangan
Dari zaman naik bus, naik motor naik mobil semua ada kenangannya"
Atta'awun Puncak Mosque;5;Shindi Dewi;Masjid yg masih berdiri kokoh di puncak 👍👍
Atta'awun Puncak Mosque;5;Kholis Mahendra;Asik dan nyaman pemandangan oke
Atta'awun Puncak Mosque;5;Nazwa Kamilah;
Atta'awun Puncak Mosque;5;Adiyatma Nugraha;"Masjid at ta'awun.. dingin banget airnya, cuacanya syahdu.. mendung plus gerimis.. sholat Dzuhur disini.. nungguin one way arah Jakarta..
Di dalam masjidnya hangat, lantai nya dari kayu.. Masya Allah.. ga bosen2 pengen kesini lagi..."
Atta'awun Puncak Mosque;5;Johan Wahyudi;
Atta'awun Puncak Mosque;5;Woro Pekerti;Tempat favorit tiap kepuncak, gapunya tujuan pun pasti ujung²nya kesini. Tempatnya adem, sejuk nd bersih.
Atta'awun Puncak Mosque;5;emirel bisri;
Atta'awun Puncak Mosque;5;Alisan Bojong Gede;
Atta'awun Puncak Mosque;5;Arazka Firza;Dingin banget suasananya
Atta'awun Puncak Mosque;5;Karti Aja;
Atta'awun Puncak Mosque;5;Annisa Bilqisti;
Atta'awun Puncak Mosque;5;Panji Asmoro;Bagus buat ngadem
Atta'awun Puncak Mosque;5;Cupit Tsani;Mesjid ternyaman di Puncak...
Atta'awun Puncak Mosque;5;lyvia arunee;
Atta'awun Puncak Mosque;5;Danil Wirawan;Tempat kesukaan
Atta'awun Puncak Mosque;5;Widi;Adem dingin
Atta'awun Puncak Mosque;5;Dina Inovasims;Sejuk n tenang
Atta'awun Puncak Mosque;5;wahyuni sari;
Atta'awun Puncak Mosque;5;denni supriyadi;
Atta'awun Puncak Mosque;5;Mahrul Mahrufi;Tempat yang indah
Atta'awun Puncak Mosque;5;Eragon Tebe;MasyaAllah wajib mampir kesini tempat paling indah di puncak bogor sebaik baik tempat untuk singgah ialah masjidnya Allah
Atta'awun Puncak Mosque;5;Atta Racing;
Atta'awun Puncak Mosque;5;Muhammad Abdan Syakuro;Sejuk, asri, nyaman & religius
Atta'awun Puncak Mosque;5;arief muhammad;
Atta'awun Puncak Mosque;5;Vira Aulia Nisa;
Atta'awun Puncak Mosque;5;Puspasari Nyoman;Nongki di sini gegara macet buka tutup, tapi lumayan terobati dgn pemandangan yg okee banget
Atta'awun Puncak Mosque;5;fika Ayu;Icon puncak bogor ♡
Atta'awun Puncak Mosque;5;Danang angkasa;
Atta'awun Puncak Mosque;4;Annisaa Zalza;
Atta'awun Puncak Mosque;5;ababababc d;masjid seribu kenangan
Atta'awun Puncak Mosque;5;Medi Saputra;
Atta'awun Puncak Mosque;5;Suspita Bella;
Atta'awun Puncak Mosque;4;Bakhtiar Tiar;
Atta'awun Puncak Mosque;5;abu zaid praktisi ruqyah;
Atta'awun Puncak Mosque;5;linda nurmalinda;
Atta'awun Puncak Mosque;5;Ismail Hamka Qordhowi;
Atta'awun Puncak Mosque;5;catatan si kalan;
Atta'awun Puncak Mosque;5;Taufiqur Rahman;
Atta'awun Puncak Mosque;5;Lita;Tempatnya dingin banget kalo malem tapi enak apalagi kalo sambil ngopi panas, suhu bisa 14-15°C di atta'wun, kalo yang gak kuat dingin, mending bawa jaket yg tebal sama kaos kaki.
Atta'awun Puncak Mosque;4;Lini Marda;Seru
Atta'awun Puncak Mosque;5;hardi ardhiansyah;
Atta'awun Puncak Mosque;5;erwin syah;Selalu indah dan sejuk pemandangan dr masjid atta'Awun ini,
Atta'awun Puncak Mosque;5;Abu Zanjabil;Masjid yg sangat nyaman, suasananya menyenangkan
Atta'awun Puncak Mosque;5;T Satrio J;
Atta'awun Puncak Mosque;5;Ratna Sari;
Atta'awun Puncak Mosque;5;Chaidir Rahman apa ibeat 1821;
Atta'awun Puncak Mosque;5;Guruh Munzir;
Atta'awun Puncak Mosque;5;Ridwanuloh;
Atta'awun Puncak Mosque;5;Fatah Fadilah;"Masuk cuma bayar parkiran. Ada penitipan sepatu atau sandal, ada juga warung makan dan warung kantin. Adem dan nyaman saat sholat di mesjid atta""awun Puncak."
Atta'awun Puncak Mosque;5;rizki amalia;
Atta'awun Puncak Mosque;5;Agus Wahyudi;
Atta'awun Puncak Mosque;5;Hairul Rida;
Atta'awun Puncak Mosque;5;Arkanjani;Mampir ke mesjid terkenal di puncak mesjid atta'Awun
Atta'awun Puncak Mosque;5;Ridwan;The greatest mosque in Puncak area
Atta'awun Puncak Mosque;5;Chitra;
Atta'awun Puncak Mosque;5;On Liung;
Atta'awun Puncak Mosque;4;Santo Jaya;
Atta'awun Puncak Mosque;5;Bintang Al Farizi;dingin poll
Atta'awun Puncak Mosque;5;wahyudin;
Atta'awun Puncak Mosque;5;Muhammad Ihsan;
Atta'awun Puncak Mosque;5;ANNA KARTIKA;
Atta'awun Puncak Mosque;5;andy afrizal;
Atta'awun Puncak Mosque;5;ence ali sajidin;
Atta'awun Puncak Mosque;5;Arno Setiawan;Sejuk banget.tempat nya bersih
Atta'awun Puncak Mosque;5;Arfan Electronic;Tempat yg indah
Atta'awun Puncak Mosque;5;Bambang Sailendra;
Atta'awun Puncak Mosque;5;Tri Apriyatno;Sejuk dan tidak semrawut seperti dulu, sudah jauh lebih rapih
Atta'awun Puncak Mosque;5;Nani Nani rosa;
