title;stars;name;text
Istiqlal Mosque;5;Tri Widarto;
Istiqlal Mosque;5;muhammad bin ahmad;Alhamdulillaah
Istiqlal Mosque;5;ayu asmara nurwito;
Istiqlal Mosque;1;Topans Tri Wahyudi Napitupulu;Tolong untuk badan pengelola masjid dikondisikan sudah tau ada kajian bada subuh, toh dibuka 24 jam untuk hari itu bukan ditutup begini. Kasian jamaah yang ingin menginap/itikaf di masjid apalagi yang dari jauh-jauh datang. Kecuali hari biasa di buat aturan diatas jam 22.00 tutup karena ga ada kegiatan. Ini ada agenda dan mengundang banyak jamaah malah jamaahan di telantarkan.
Istiqlal Mosque;5;Devi S.A.;Terakhir kesini waktu bulan puasa, ada acara bukber sama tauziah tiap sore
Istiqlal Mosque;5;Riski Pelu;
Istiqlal Mosque;5;SRI NGADIRAH;
Istiqlal Mosque;5;Gita Aulia Pertiwi;
Istiqlal Mosque;5;Dias Akio;Subhanallah
Istiqlal Mosque;2;Muhammad Amri Azhamat Khan;Kurang banyak WC nya. Jadi antri panjang. Semoga jadi perhatian besar bagi para penanggung jawab kemakmuran masjid kita Istiqlal. Terima kasih
Istiqlal Mosque;5;Ulil Al;
Istiqlal Mosque;5;Felix -;Beautiful space, incredible design and structure.
Istiqlal Mosque;5;Mas Rosihan;
Istiqlal Mosque;5;Tubagus iwan;
Istiqlal Mosque;5;Fiatun Hanifah Ramadhan;
Istiqlal Mosque;5;Anisa Dwi Prabandini;when we came here, there was a very kind cleaning officer. my father is old and had difficulty walking. The cleaning officer offered my father to use a wheelchair. In the end, the officer took it for us.
Istiqlal Mosque;5;Ra_tihhh;"Masjid yang berada di pusatnya Jakartanya ini ga pernah sepi pengunjung baik yg dari dalam kota maupun luar kota. Buat singgah sebentar sebelum melakukan perjalanan kembali, bisa jadi pilihan ke masjid ini. Meski letaknya bersebelahan dgn Gereja Katedral tapi toleransi antar umat beragamanya terasa sekali.

Buat yang mau ke masjid Istiqlal aksesnya mudah bisa di akses dgn KRL turun di Stasiun Juanda tinggal jalan sedikit atau Halte Trans Jakarta Juanda.."
Istiqlal Mosque;5;Teguh gamer;
Istiqlal Mosque;5;Shaukat Mehmood;Mosque was beautiful and pretty
Istiqlal Mosque;5;Etisalat Elife Internet Services PROVIDERS;
Istiqlal Mosque;5;cahbagos banny;terfavorite,the best.
Istiqlal Mosque;5;Novianti Febriana;
Istiqlal Mosque;5;Dek Hafids Haryonno;
Istiqlal Mosque;5;Indra Pratama;
Istiqlal Mosque;5;Noviana Jeon;
Istiqlal Mosque;5;Jelah Monta;
Istiqlal Mosque;5;Rizki Mahendra;
Istiqlal Mosque;5;Rengga Fernando;
Istiqlal Mosque;5;dania niadania;Wali band
Istiqlal Mosque;5;Vivien Zhang;This is the most beautiful and gorgeous mosque I've ever visited. Mosque provide guide for public tourism. Appreciate it and thank you so much!
Istiqlal Mosque;4;Lia Karlia;"Maaf ya . . toilet' nya kurang banyak
Pintu keluar dan pintu masuk sama
Pintu kurang banyak untuk masuk dan keluar
Kurang ramah buat manula"
Istiqlal Mosque;5;Yoga Hastiko Ardi;
Istiqlal Mosque;5;LeX;
Istiqlal Mosque;5;ahmad robbani;Masjidnya nyaman untuk beribadah
Istiqlal Mosque;4;Elouan Cestier;Amazing mosque! Highly recommend
Istiqlal Mosque;5;Yuliana Putri;"Hallo hai semuanya 👋,, langsung saja reviewnya yaaa
Masjid Istiqlal merupakan masjid terbesar di Asia Tenggara, yang letaknya cukup unik karena berdampingan dengan Gereja Katedral Jakarta, hal ini melambangkan harmoni dan persatuan dalam keberagaman agama di Indonesia. Hal tersebut menjadi salah satu wisata religi yang cukup di minati oleh masyarakat. Banyak sekali para wisatawan yang berkunjung ke Masjid Istiqlal. Di Masjid Istiqlal tersedia area pengunjung seperti taman yang luas, perpustakaan, area ibadah, terowongan silaturahmi yang menghubungkan Masjid Istiqlal dengan Gereja Katedral, fasilitas untuk musafir, area parkir kendaraan yang luas, dan masih banyak lagi.
Btw aku ke sini akhir tahun 2024 ya dan baru sempat menulis review sekarang, hehehe.., waktu aku ke sini bertepatan dengan waktu ashar jadi sekalian sholat di sini, dan masyaallah begitu melihat area untuk ibadah sungguh indah, megah, hati terasa adem dan damai rasanya.
Tersedia beberapa mukena di sini. Ketika waktu ibadah ada pengurusnya yang menegur jika ada pengunjung yang masih ramai dan tidak melaksanakan ibadah ketua ada yang sedang sholat. Untuk pengunjung perempuan yang menegur tentunya pengurus perempuan juga yaa.
Mungkin itu sedikit cerita pengalaman dan reviewku ketika berkunjung ke Masjid Istiqlal, see you again 👋"
Istiqlal Mosque;5;sahuri huri;
Istiqlal Mosque;5;Nidaru Fikri;Mengunjungi Masjid Istiqlal memberikan pengalaman yang tenang dan mengesankan. Suasana masjid yang bersih, luas, dan tertata rapi membuat pengunjung merasa nyaman dan dekat dengan spiritualitas. Saat beribadah di sana, terutama di hari Jumat atau hari besar Islam, terasa kedamaian dan kekhidmatan yang kuat. Keindahan arsitektur serta keberadaan masjid di pusat kota dekat Monas dan bersebelahan dengan Gereja Katedral menambah nilai khas dan kesan toleransi beragama. Masjid ini bukan hanya tempat ibadah, tapi juga ruang ketenangan dan refleksi bagi banyak orang di tengah kesibukan kota Jakarta.
Istiqlal Mosque;5;Renji Ahmad;Allhamdulillah bersih dan terawat
Istiqlal Mosque;5;Dhafa zyan Santana;
Istiqlal Mosque;5;Nur Seha;
Istiqlal Mosque;5;Waqas;
Istiqlal Mosque;5;Jumaedi Wijaya;masjid yang masyaallah bagus
Istiqlal Mosque;5;Naysila Kirani;Keren enak buat singgah
Istiqlal Mosque;5;Ab One;Salam 1 Tuhan Allahu Akbar
Istiqlal Mosque;5;Vega;
Istiqlal Mosque;2;Ana eka Fitriani;"Masjid bagus.
Satpam tidak ramah. Hp ibu sy hilang satpam cuek & tidak ada usaha membantu.
Dan sy nemu hp, mau sy titip ke satpam, cuek juga. Huft"
Istiqlal Mosque;5;Beti Andriani;First time ke masjid istiqlal pas ambil racepack acara istiqlal halwalk, masyallah masjidnya besar , bangunan yang bagus, dan aksesnya mudah dkt st. Juanda sm halte tj.
Istiqlal Mosque;5;Dyani Anjani;"Masjid yang dirancang oleh arsitek anak Pendeta atas persetujuan Soekarno untuk lambang kemerdekaan. Jadi rute langganan buat turis asing kunjungi. Ambiensnya yang megah dan majestik membuat tempat ini layak mendapat predikat Masjid terbesar se- Asia Tenggara. Di dalam sangat berasa kecil atau interior yang intimidatif.
Ada tour guide namanya Pak Yusuf yang siap menjelaskan, ruangannya ber-AC di dekat ATM. Untuk turis asing yang ingin mengikuti tour masjid wajib mendaftar & mengenakan jubah mirip Harry Potter menutupi kaki & tangan."
Istiqlal Mosque;5;Yuer Milas;
Istiqlal Mosque;1;Devi Mayang;Masjid yg menjadi banyak tujuan umat muslim, dan mrupakan masjid terbesar musti bisa mencontoh masjid di kota kota kecil yg pasti manajemen masjidnya  dan dana operasional tidak sebesar disini, untuk saling memperbaiki, mustinyaa oknum Security lebih di jaga tutur katanya, tidak melihat dn membeda bedakn pengunjung ntah itu turis atau jamaah, baiknya Manajemen Keamanan dan Misal ad Event tertentu khususnya bagi kami dr jauh bisa di perkenankan istirahat di pelataran masjid ini masjid TERBESAR, smoga Allah memberikan keluasan hati bagi kita semua, Karna tidak perlu di ingat kan bahwa masjid bulan hanya tmpt sholat tapi lebih banyak lagi
Istiqlal Mosque;5;Jasmine Miyoung Park;Entrance time until 5 PM but you can stay until 10 PM.
Istiqlal Mosque;5;ENGGANG MAHESNA;
Istiqlal Mosque;5;Muhammad Shopie;
Istiqlal Mosque;5;Ella Untari;
Istiqlal Mosque;5;Rendi Apriandi;
Istiqlal Mosque;3;Salma Dev;"Awalnya mau nanya tentang Terowongan Silaturahmi yang nyambung ke Katedral tapi trus sm staff di sekitar Terowongan malah diketawain dan dibecandain ""yang bisa masuk VIP doang, itu pun harus izin satpam buat dibukain pintu 😂""
Akhirnya saya nanya ke staff yang jaga sandal dan dijelaskan tata cara daftar buat ke terowongan silaturahmi tersebut.

Kamar mandi juga kurang bersih dan kurang diperhatikan kondisinya.

Sebagai seorang Muslim, jujur saya sangat kecewa dengan pengalaman ini. Semoga segera diperbaiki supaya tidak merusak citra Istiqlal di mata turis Muslim maupun non Muslim yang datang."
Istiqlal Mosque;4;Fara Dilla;Maaf, mohon diperhatikan lagi bagian dalam toilet nya sangat kotor, pintunya pun tidak ada kunci ini udah lama bgt. Melihat banyak pekerja kebersihannya tapi hanya sibuk ngebersihin bagian luar lalu di foto, coba lihat bagian dalamnya, rasanya pen ngambil pel lannya buat bersihin risih dari hari ke hari masih kotor juga. Bagian mungkena mungkin sebaiknya digantung biar terlihat lebih rapih dan tidak lembab. Pengunjung juga mohon sama-sama jaga kebersihan nya dan kerapihan ya biar makin mantul, sayang bgt kan, malu banyak pengunjung dari negara/agama lain, terima kasih.
Istiqlal Mosque;5;nela kamal Inel;
Istiqlal Mosque;4;WenJ;"第一次造訪清真寺
很特別
也可以相對理解席地而坐的習慣
進入清真寺要脫掉鞋子並且不可穿著短褲

除了週五之外
每日有定時免費導覽，在入口左側的遊客中心集合（不用走到清真寺裡面）
導覽員有趣會講解建築意義，以及三個主要區域
如果能更深入多介紹一些穆斯林文化會更喜歡"
Istiqlal Mosque;5;Alfauzi Syahmad;Alhamdulillah akhir pekan sholat di masjid istiglal
Istiqlal Mosque;1;golovkinsigma;
Istiqlal Mosque;5;yudi yuni;
Istiqlal Mosque;3;Sani Latifah;Tolong di perbaiki sistem pembayarannya parkir nya, udh 2 kali kesna rusak mulu, hnya bisa bayar tunai, hrusnya di update bisa pembayarannya QRIS klo emang ngga mau lama
Istiqlal Mosque;5;INDRA PERMANA;
Istiqlal Mosque;5;Lilik Untung Bejo Kurniawan;tempat Beribadah yang nyaman dan Baik. Orangnya Ramah-ramah 🙏👍🤲👍👍👍👍👍🙏
Istiqlal Mosque;5;zakky rohman;Masjid terbesar dan kebanggaan masyarakat Indonesia
Istiqlal Mosque;5;TAKASHI I;"イスラム教徒でなくても観光客として入る事ができますが、お祈りの時間帯には観光客は入れません。また服装はTシャツはOKですが、半パンでは入館できません。地下駐車場を上がったあたりにある建屋で肌を隠すための布のようなものをレンタルします。
外観も大きいですが、中のドームのあたりは本当に美しいです。
英語を話せるガイドさんもいます。
イスティクラルはモナスの近くにあるので徒歩ではしんどいですが車なら数分で行けます。
また、モスクのまん前に立派な教会があります。
今は宗教対立がない、これぞインドネシアという感じがしました。"
Istiqlal Mosque;1;Julio Campo;Seems like a festival with bad music played on bad speaker….
Istiqlal Mosque;5;Mhmmd Irfani;Aku keigan waktu aku kecil
Istiqlal Mosque;5;Nguyễn Phương Quỳnh;Tuyệt vời, không mất vé và bạn sẽ có người hướng dẫn giới thiệu, nếu bạn hài lòng thì mới tip cảm ơn. Nhà thờ tuyệt đẹp và rộng lớn. Nhớ mặc quần dài ( nếu không vẫn có trang phục được phát mặc bên ngoài). Bỏ dép ( có túi được phát) trước khi vào nhà thờ. Rất chu đáo.
Istiqlal Mosque;5;Avry Irawan;
Istiqlal Mosque;5;Musholla Almu'min;
Istiqlal Mosque;5;Ferdyanto Adhi Nugroho;"Masjid Istiqlal adalah sebuah masjid nasional yang berada di Jakarta Pusat, Indonesia. Masjid ini menjadi masjid terbesar di Asia Tenggara dan masjid terbesar kedelapan di dunia dalam hal kapasitas jamaah. Dibangun untuk memperingati kemerdekaan Indonesia, masjid nasional Indonesia ini diberi nama ""Istiqlal"", kata bahasa Arab untuk ""kemerdekaan"". Masjid ini dibuka untuk umum pada tanggal 22 Februari 1978.

Pembangunan masjid ini diprakarsai oleh Presiden Republik Indonesia saat itu, Soekarno dan peletakan batu pertama sebagai tanda dimulainya pembangunan masjid ini juga dilakukan oleh Soekarno, presiden pertama Indonesia, pada tanggal 24 Agustus 1961. Kemudian proyek masjid ini diarsiteki oleh Friedrich Silaban, anak dari pendeta Lutheran yang berasal dari Huria Kristen Batak Protestan. Desain masjid ini mengusungkan tema ""Ketuhanan"".

Masjid ini memiliki gaya arsitektur formalisme baru dan internasional; dengan dinding dan lantai berlapis marmer, dihiasi ornamen geometrik dari baja antikarat. Bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar. Bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar. Minaret tunggal setinggi total 96,66 meter menjulang di sudut selatan selasar masjid. Masjid ini mampu menampung lebih dari 200.000 Jemaah.

Lokasi Masjid Istiqlal sendiri sangat strategis, berdekatan dengan Gereja Katedral Jakarta, Lapangan Banteng, Halte Transjakarta Juanda, dan Stasiun Kereta Rel Listrik (KRL) Juanda.

Yuk berkunjung ke Masjid Istiqlal Jakarta 😁👍"
Istiqlal Mosque;5;Yaya;
Istiqlal Mosque;5;Rosidin 82;Mantap sangat indah, dan nyaman
Istiqlal Mosque;5;Elu Kamogawa;"巨大なモスク。思っていたよりも中の空間は壮大で驚きました。行って良かったです。ツアーもガイドの人の説明が分かりやすくて良かったです。せっかくジャカルタに来たのなら一度は訪れるべき価値のあるところです。
中では、友達同士で駄弁ってたり、勉強していたり、ある意味憩いの場として使っている人もいる感じでした。
女性はヒジャブをする必要がありますが、門を入ってすぐのツアー参加の建物のところで借りられます。"
Istiqlal Mosque;5;Eza Bian Aldesta;Pengen kesana
Istiqlal Mosque;1;Indra perdana;Sendal ilang, security tidak ramah saat ditanya
Istiqlal Mosque;1;Sore Express;Evaluasi tu pegawai dari pada di tutup sama masyarakat
Istiqlal Mosque;4;Sebastian Königs;Definitely worth a visit, though more for its sheer size than its beauty. (Non-muslim) visitors can get a free 20-minute guided tour through the complex after registration at the information desk. Note that the last tour leaves at 16h30 (see schedule in the photos)
Istiqlal Mosque;5;Mas Fahmi;"Masjid Istiqlal merupakan masjid terbesar di Asia Tenggara dan menjadi ikon penting bagi umat Islam di Indonesia. Arsitekturnya megah dengan desain yang kokoh dan elegan, mampu menampung ratusan ribu jamaah sekaligus. Lingkungan masjid terawat dengan baik, mulai dari halaman luas hingga area dalam yang bersih dan nyaman untuk beribadah. Suasananya khusyuk dan menenangkan, sangat cocok bagi siapa saja yang ingin beribadah atau sekadar menikmati keindahan bangunan bersejarah ini.

Lokasinya pun strategis, berada di pusat Jakarta dan berseberangan dengan Gereja Katedral, yang menjadi simbol harmonisasi kerukunan antarumat beragama. Selain sebagai tempat ibadah, Masjid Istiqlal juga sering menjadi destinasi wisata religi yang dikunjungi oleh wisatawan lokal maupun mancanegara. Dengan fasilitas yang terus ditingkatkan, masjid ini benar-benar layak disebut sebagai salah satu kebanggaan bangsa dan pusat kegiatan keagamaan terbesar di Indonesia"
Istiqlal Mosque;5;Taufik Darmawan;"Masjid Istiqlal Jakarta 🕌
Sebagai masjid terbesar di Asia Tenggara, Masjid Istiqlal menjadi simbol kemerdekaan Indonesia dan pusat kegiatan keagamaan nasional. Terletak di jantung ibu kota, bersebelahan dengan Monas, masjid ini menampilkan arsitektur megah dengan kubah berdiameter 45 meter serta menara setinggi 96 meter.

Tidak hanya menjadi tempat ibadah, Masjid Istiqlal juga menjadi destinasi wisata religi yang terbuka bagi seluruh masyarakat dan wisatawan mancanegara untuk mengenal sejarah, budaya, serta nilai toleransi Indonesia. 🌍✨"
Istiqlal Mosque;5;Candra Gunawan;
Istiqlal Mosque;4;Faizah Newemail;"Tgl 7 sep kmrn ke masjid Istiqlal, megah dan luasnya Subhanallah, adem bgt,,,
Seneng bgt bisa ke sana ajak anak perempuanku yg kecil, tempat ni oke bgt tp kmrn sempet minjem mukena yg disediakan di sana miris bgt yaaa, mukena udah pada kendor udah ga layak dipake, tolonglah itu ya pihak pengelola belilah mukena yg baru, yg nyaman dipake oleh pengunjung,, malu lah klo orang luar yg baru berkunjung terus mo pake mukena nya trus mukenanya kayak gtu😑,, maaf sekedar saran saja biar ga jadi omongan jamaah luar🙏"
Istiqlal Mosque;1;yourwasting mytime;"Nambah lagi kasus security, setelah kemarin security mendukung ibu-ibu yang jualan kresek, sekarang malah ngomelin orang tidur pake toa. Klo mau negur setidaknya ga usah bikin orang tersebut dipermalukan. Kerja di rumah Allah tapi ga ada pribadi Islamnya😹

Petugas penitipan sepatu tidak ramah dan cuek. Teman saya mendapat respon yang kasar ketika ingin menitip sepatu di waktu sebelum ashar. Di tempat penitipan yang lain, petugas cuek padahal sudah melihat saya menunggu di depan loket, namun petugas malah meninggalkan tempatnya."
Istiqlal Mosque;5;Ahmet Altay;
Istiqlal Mosque;5;Michael Yulius;ini merupakan sejarah yang ada di kota jakarta
Istiqlal Mosque;1;Cuplin Jabrixx;"Sangat tdk ramah kepada musafir
Entah itu securitti nya
Entah itu ob nya
Sangat perlu di ajarkan etika adab sopan dn santun kepada jamaah karna masjid itu selain untuk beribadah berfungsi untuk tempat rehat bagi para musafir yg berkunjung dn kelelahan"
Istiqlal Mosque;1;Alisya;Awas guys nanti dimarahin petugas nya pake TOA 🤣🤣, mending dimasjid lain 🤭
Istiqlal Mosque;5;azifa mulda;
Istiqlal Mosque;1;Andika Krisna Mukti;Bintang satu. Soalnya ada petugas perempuan yang sangat tidak ramah terhadap pengunjung/jemaah. Bahkan membentak-bentak.
Istiqlal Mosque;5;edy triyono;Masjid Istiqlal nih lebih dari sekadar masjid. Ia merupakan monumen nasional yang mencerminkan kemegahan, sejarah perjuangan, serta semangat persatuan bangsa Indonesia.
Istiqlal Mosque;5;Faris Hamid;
Istiqlal Mosque;1;Qwerty Uiop;8 sep 2025 gue liat video di fb , ibu2 penjaganya kok teriak2 pke toa marahin pengunjung yg lagi tiduran di baris belakang , P E C A T woi , ga ada akhlak itu ibu2,
Istiqlal Mosque;1;dedy syafi'i;Staff/pengurus semua tidak ramah, seperti pereman pasar.
Istiqlal Mosque;5;Agung Setiawanto;Salah satu masjid besar di jakarta ramai indah melihat nya bagus tempat MasyaAllah tempat ibadah seluas ini ya Robb tinggal kita aja nih memperdekat sama allah biar hidup terasa lebih baik tenang,
Istiqlal Mosque;5;Agung Arie Pratama;
Istiqlal Mosque;5;J;壮大で素晴らしい
Istiqlal Mosque;1;Ridzky Aditya Saputra;Sebagai masjid yang merepresentasikan Indonesia, khususnya Jakarta, adab menegur satpamnya sungguh nirakhlak, tidak beradab dan konyol. Jangan lupa, masjid selain sebagai tempat ibadah, ia merupakan tempat teraman kaum muslimin sejak zaman nabi. Ali bin Abi Thalib saat bertengkar dengan Fathimah, beliau mengeluhkan masalahnya kepada Allah dan memilih tidur2an di masjid untuk menenangkan diri. Sampai beliau mendapat jululan Abu Thurob (karena tubuhnya penuh debu). Tolong dievaluasi lagi SOP di masjid ini.
Istiqlal Mosque;5;KARGO BACA (KABACA);Alhamdulillah  sholat jumat di Istiqlal sangat menentramkan
Istiqlal Mosque;1;Angga Maulana;Masjidnya bagus, nyaman. Namun sangat disayangkan pelayanan security nya kurang ramah dan cara ngomongnya kurang santun
Istiqlal Mosque;5;abu rizal;
Istiqlal Mosque;1;Nur Fasiha;
Istiqlal Mosque;5;Nasywa TR;kemaren saya kesini sesudah dari monas, masyaallah masjid Istiqlal ini besarr dan luasss banget, di depannya juga ada gereja katedral masyaallah
Istiqlal Mosque;5;Ataru 1;"モナスから北東にある立派なモスク。
夜はライトアップされてきれいでした。"
Istiqlal Mosque;5;tim treasure;"어마어마한 규모
압도당하는 느낌
뭔가 우주속에 있는듯한
꼭 한번 다들 방문해봤으면"
Istiqlal Mosque;5;Nazwa Aliza;
